"STATEICP","total","above10","Area.name","Total.Population","Total.above10.est"
"Alabama",15133,10761,"Alabama",996992,708955.984404943
"Arizona",92,72,"Arizona Territory",9658,7558.4347826087
"Arkansas",6219,4422,"Arkansas",484471,344481.550410034
"California",5531,4304,"California",560247,435961.505695173
"Colorado",380,291,"Colorado Territory",39864,30527.4315789474
"Connecticut",5406,4288,"Connecticut",537454,426304.615612283
"Dakota",151,120,"Dakota Territory",14181,11269.6688741722
"Delaware",1700,1260,"Delaware",125015,92658.1764705882
"District of Columbia",1956,1493,"District of Columbia",131700,100525.613496933
"Florida",3042,2114,"Florida",187748,130473.133464826
"Georgia",18027,12624,"Georgia",1184109,829211.295057414
"Idaho",157,147,"Idaho Territory",14999,14043.6496815287
"Illinois",26547,18942,"Illinois",2539891,1812280.6841451
"Indiana",17455,12464,"Indiana",1680637,1200083.61890576
"Iowa",11693,8246,"Iowa",1194020,842032.747797828
"Kansas",3964,2834,"Kansas",364399,260521.3839556
"Kentucky",16884,11955,"Kentucky",1321011,935364.043176972
"Louisiana",11564,8339,"Louisianna",726915,524190.953389831
"Maine",5919,4713,"Maine",626915,499180.671566143
"Maryland",10201,7537,"Maryland",780894,576962.854426037
"Massachusetts",14782,11781,"Massachusetts",1457351,1161483.70524963
"Michigan",11756,8669,"Michigan",1184059,873137.756975162
"Minnesota",4652,3227,"Minnesota",439706,305015.318572657
"Mississippi",13107,9083,"Mississippi",827922,573740.407873655
"Missouri",19084,13448,"Missouri",1721295,1212951.95766087
"Montana",168,155,"Montana Territory",20595,19001.3392857143
"Nebraska",1153,830,"Nebraska",122993,88537.8924544666
"Nevada",438,374,"Nevada",42491,36282.2694063927
"New Hampshire",3284,2651,"New Hampshire",318300,256946.802679659
"New Jersey",9493,7180,"New Jersey",906096,685322.793637417
"New Mexico",845,575,"New Mexico Territory",91874,62517.8106508876
"New York",43850,33896,"New York",4382759,3387867.7095553
"North Carolina",15275,10885,"North Carolina",1071361,763454.303436988
"Ohio",27034,19824,"Ohio",2665260,1954431.98342828
"Oregon",942,636,"Oregon",90923,61387.5031847134
"Pennsylvania",35533,26289,"Pennsylvania",3521951,2605706.52179664
"Rhode Island",2130,1727,"Rhode Island",217353,176229.404225352
"South Carolina",11584,8167,"South Carolina",705606,497469.285393646
"Tennessee",16834,11880,"Tennessee",1258520,888155.970060592
"Texas",11123,7703,"Texas",818579,566889.691360245
"Utah",874,588,"Utah Territory",86786,58386.9199084668
"Vermont",3293,2605,"Vermont",330551,261489.63103553
"Virginia",18678,13448,"Virginia",1225163,882106.864974837
"Washington",231,172,"Washington Territory",23955,17836.6233766234
"West Virginia",4703,3301,"West Virginia",442014,310246.271316181
"Wisconsin",10444,7431,"Wisconsin",1054670,750407.197433933
"Wyoming",66,63,"Wyoming Territory",9118,8703.54545454545
